INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-BF_EASY_100_027.bpp,100,23,"{'FFIT': 25, 'BFIT': 31, 'WFIT': 21, 'AWFIT': 23}",0.825
GA-BF_EASY_100_027.bpp,100,22,"{'FFIT': 36, 'BFIT': 16, 'WFIT': 24, 'AWFIT': 24}",0.8873
GA-BF_EASY_100_027.bpp,100,23,"{'FFIT': 19, 'BFIT': 11, 'WFIT': 62, 'AWFIT': 8}",0.8242
GA-BF_EASY_100_027.bpp,100,22,"{'FFIT': 39, 'BFIT': 29, 'WFIT': 24, 'AWFIT': 8}",0.895
GA-BF_EASY_100_027.bpp,100,23,"{'FFIT': 18, 'BFIT': 35, 'WFIT': 32, 'AWFIT': 15}",0.8232
GA-BF_EASY_100_074.bpp,100,25,"{'FFIT': 28, 'BFIT': 19, 'WFIT': 21, 'AWFIT': 32}",0.8453
GA-BF_EASY_100_074.bpp,100,25,"{'FFIT': 38, 'BFIT': 36, 'WFIT': 13, 'AWFIT': 13}",0.8486
GA-BF_EASY_100_074.bpp,100,25,"{'FFIT': 25, 'BFIT': 36, 'WFIT': 15, 'AWFIT': 24}",0.8452
GA-BF_EASY_100_074.bpp,100,25,"{'FFIT': 26, 'BFIT': 20, 'WFIT': 43, 'AWFIT': 11}",0.8475
GA-BF_EASY_100_074.bpp,100,25,"{'FFIT': 8, 'BFIT': 40, 'WFIT': 46, 'AWFIT': 6}",0.845
GA-AWF_EASY_100_033.bpp,100,23,"{'FFIT': 62, 'BFIT': 19, 'WFIT': 15, 'AWFIT': 4}",0.9214
GA-AWF_EASY_100_033.bpp,100,23,"{'FFIT': 21, 'BFIT': 3, 'WFIT': 37, 'AWFIT': 39}",0.9097
GA-AWF_EASY_100_033.bpp,100,23,"{'FFIT': 11, 'BFIT': 39, 'WFIT': 7, 'AWFIT': 43}",0.9098
GA-AWF_EASY_100_033.bpp,100,23,"{'FFIT': 12, 'BFIT': 35, 'WFIT': 9, 'AWFIT': 44}",0.9096
GA-AWF_EASY_100_033.bpp,100,23,"{'FFIT': 40, 'BFIT': 21, 'WFIT': 14, 'AWFIT': 25}",0.9097
GA-FF_EASY_100_006.bpp,100,25,"{'FFIT': 26, 'BFIT': 19, 'WFIT': 33, 'AWFIT': 22}",0.8531
GA-FF_EASY_100_006.bpp,100,24,"{'FFIT': 21, 'BFIT': 11, 'WFIT': 9, 'AWFIT': 59}",0.9142
GA-FF_EASY_100_006.bpp,100,25,"{'FFIT': 18, 'BFIT': 5, 'WFIT': 14, 'AWFIT': 63}",0.8522
GA-FF_EASY_100_006.bpp,100,25,"{'FFIT': 9, 'BFIT': 16, 'WFIT': 67, 'AWFIT': 8}",0.8506
GA-FF_EASY_100_006.bpp,100,25,"{'FFIT': 6, 'BFIT': 8, 'WFIT': 30, 'AWFIT': 56}",0.8524
GA-AWF_EASY_100_069.bpp,100,18,"{'FFIT': 28, 'BFIT': 25, 'WFIT': 21, 'AWFIT': 26}",0.9024
GA-AWF_EASY_100_069.bpp,100,18,"{'FFIT': 17, 'BFIT': 31, 'WFIT': 21, 'AWFIT': 31}",0.9021
GA-AWF_EASY_100_069.bpp,100,18,"{'FFIT': 41, 'BFIT': 13, 'WFIT': 21, 'AWFIT': 25}",0.902
GA-AWF_EASY_100_069.bpp,100,18,"{'FFIT': 26, 'BFIT': 29, 'WFIT': 27, 'AWFIT': 18}",0.9043
GA-AWF_EASY_100_069.bpp,100,18,"{'FFIT': 45, 'BFIT': 19, 'WFIT': 26, 'AWFIT': 10}",0.9042
GA-FF_EASY_100_015.bpp,100,26,"{'FFIT': 5, 'BFIT': 2, 'WFIT': 60, 'AWFIT': 33}",0.8474
GA-FF_EASY_100_015.bpp,100,26,"{'FFIT': 18, 'BFIT': 12, 'WFIT': 13, 'AWFIT': 57}",0.85
GA-FF_EASY_100_015.bpp,100,26,"{'FFIT': 6, 'BFIT': 3, 'WFIT': 55, 'AWFIT': 36}",0.8477
GA-FF_EASY_100_015.bpp,100,25,"{'FFIT': 21, 'BFIT': 47, 'WFIT': 17, 'AWFIT': 15}",0.91
GA-FF_EASY_100_015.bpp,100,26,"{'FFIT': 42, 'BFIT': 16, 'WFIT': 28, 'AWFIT': 14}",0.8492
GA-WF_EASY_100_088.bpp,100,23,"{'FFIT': 28, 'BFIT': 28, 'WFIT': 25, 'AWFIT': 19}",0.9115
GA-WF_EASY_100_088.bpp,100,23,"{'FFIT': 22, 'BFIT': 27, 'WFIT': 26, 'AWFIT': 25}",0.9103
GA-WF_EASY_100_088.bpp,100,23,"{'FFIT': 18, 'BFIT': 46, 'WFIT': 18, 'AWFIT': 18}",0.9109
GA-WF_EASY_100_088.bpp,100,23,"{'FFIT': 22, 'BFIT': 35, 'WFIT': 21, 'AWFIT': 22}",0.9107
