INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-BF_EASY_100_075.bpp,100,24,"{'FFIT': 71, 'BFIT': 17, 'WFIT': 8, 'AWFIT': 4}",0.7771
GA-BF_EASY_100_075.bpp,100,23,"{'FFIT': 55, 'BFIT': 22, 'WFIT': 14, 'AWFIT': 9}",0.8352
GA-BF_EASY_100_075.bpp,100,24,"{'FFIT': 36, 'BFIT': 33, 'WFIT': 21, 'AWFIT': 10}",0.7785
GA-BF_EASY_100_015.bpp,100,25,"{'FFIT': 56, 'BFIT': 24, 'WFIT': 13, 'AWFIT': 7}",0.8319
GA-BF_EASY_100_015.bpp,100,24,"{'FFIT': 40, 'BFIT': 32, 'WFIT': 15, 'AWFIT': 13}",0.8992
GA-BF_EASY_100_015.bpp,100,25,"{'FFIT': 24, 'BFIT': 29, 'WFIT': 34, 'AWFIT': 13}",0.8305
GA-FF_EASY_100_045.bpp,100,24,"{'FFIT': 56, 'BFIT': 20, 'WFIT': 16, 'AWFIT': 8}",0.9155
GA-FF_EASY_100_045.bpp,100,24,"{'FFIT': 51, 'BFIT': 32, 'WFIT': 13, 'AWFIT': 4}",0.9165
GA-FF_EASY_100_045.bpp,100,24,"{'FFIT': 66, 'BFIT': 14, 'WFIT': 13, 'AWFIT': 7}",0.9294
GA-BF_EASY_100_033.bpp,100,24,"{'FFIT': 49, 'BFIT': 16, 'WFIT': 22, 'AWFIT': 13}",0.906
GA-BF_EASY_100_033.bpp,100,24,"{'FFIT': 36, 'BFIT': 43, 'WFIT': 11, 'AWFIT': 10}",0.911
GA-BF_EASY_100_033.bpp,100,25,"{'FFIT': 34, 'BFIT': 28, 'WFIT': 24, 'AWFIT': 14}",0.8437
GA-FF_EASY_100_088.bpp,100,26,"{'FFIT': 30, 'BFIT': 26, 'WFIT': 19, 'AWFIT': 25}",0.8542
GA-FF_EASY_100_088.bpp,100,25,"{'FFIT': 42, 'BFIT': 36, 'WFIT': 14, 'AWFIT': 8}",0.9022
GA-FF_EASY_100_088.bpp,100,25,"{'FFIT': 46, 'BFIT': 22, 'WFIT': 15, 'AWFIT': 17}",0.9174
GA-WF_EASY_100_004.bpp,100,25,"{'FFIT': 70, 'BFIT': 16, 'WFIT': 13, 'AWFIT': 1}",0.8405
GA-WF_EASY_100_004.bpp,100,25,"{'FFIT': 56, 'BFIT': 23, 'WFIT': 10, 'AWFIT': 11}",0.8405
GA-WF_EASY_100_004.bpp,100,25,"{'FFIT': 46, 'BFIT': 25, 'WFIT': 20, 'AWFIT': 9}",0.8405
GA-AWF_EASY_100_035.bpp,100,22,"{'FFIT': 52, 'BFIT': 26, 'WFIT': 11, 'AWFIT': 11}",0.9191
GA-AWF_EASY_100_035.bpp,100,22,"{'FFIT': 43, 'BFIT': 17, 'WFIT': 33, 'AWFIT': 7}",0.9097
GA-AWF_EASY_100_035.bpp,100,22,"{'FFIT': 40, 'BFIT': 25, 'WFIT': 18, 'AWFIT': 17}",0.9096
GA-FF_EASY_100_041.bpp,100,21,"{'FFIT': 60, 'BFIT': 22, 'WFIT': 10, 'AWFIT': 8}",0.9068
GA-FF_EASY_100_041.bpp,100,21,"{'FFIT': 47, 'BFIT': 18, 'WFIT': 22, 'AWFIT': 13}",0.9083
GA-FF_EASY_100_041.bpp,100,20,"{'FFIT': 52, 'BFIT': 27, 'WFIT': 9, 'AWFIT': 12}",0.9953
GA-AWF_EASY_100_017.bpp,100,27,"{'FFIT': 53, 'BFIT': 21, 'WFIT': 16, 'AWFIT': 10}",0.8544
GA-AWF_EASY_100_017.bpp,100,26,"{'FFIT': 36, 'BFIT': 39, 'WFIT': 16, 'AWFIT': 9}",0.9117
GA-AWF_EASY_100_017.bpp,100,26,"{'FFIT': 30, 'BFIT': 37, 'WFIT': 21, 'AWFIT': 12}",0.9116
GA-FF_EASY_100_030.bpp,100,31,"{'FFIT': 30, 'BFIT': 36, 'WFIT': 28, 'AWFIT': 6}",0.8317
GA-FF_EASY_100_030.bpp,100,31,"{'FFIT': 44, 'BFIT': 26, 'WFIT': 18, 'AWFIT': 12}",0.8327
GA-FF_EASY_100_030.bpp,100,30,"{'FFIT': 32, 'BFIT': 22, 'WFIT': 19, 'AWFIT': 27}",0.8868
GA-FF_EASY_100_067.bpp,100,29,"{'FFIT': 59, 'BFIT': 15, 'WFIT': 14, 'AWFIT': 12}",0.8708
GA-FF_EASY_100_067.bpp,100,29,"{'FFIT': 58, 'BFIT': 19, 'WFIT': 16, 'AWFIT': 7}",0.871
GA-FF_EASY_100_067.bpp,100,28,"{'FFIT': 39, 'BFIT': 27, 'WFIT': 22, 'AWFIT': 12}",0.9263
GA-BF_EASY_100_052.bpp,100,25,"{'FFIT': 61, 'BFIT': 17, 'WFIT': 13, 'AWFIT': 9}",0.8468
GA-BF_EASY_100_052.bpp,100,25,"{'FFIT': 51, 'BFIT': 25, 'WFIT': 13, 'AWFIT': 11}",0.8481
GA-BF_EASY_100_052.bpp,100,25,"{'FFIT': 55, 'BFIT': 26, 'WFIT': 11, 'AWFIT': 8}",0.8501
GA-BF_EASY_100_053.bpp,100,19,"{'FFIT': 61, 'BFIT': 17, 'WFIT': 9, 'AWFIT': 13}",0.9015
GA-BF_EASY_100_053.bpp,100,20,"{'FFIT': 53, 'BFIT': 29, 'WFIT': 8, 'AWFIT': 10}",0.8238
GA-BF_EASY_100_053.bpp,100,20,"{'FFIT': 44, 'BFIT': 24, 'WFIT': 20, 'AWFIT': 12}",0.8227
GA-WF_EASY_100_083.bpp,100,28,"{'FFIT': 39, 'BFIT': 25, 'WFIT': 14, 'AWFIT': 22}",0.8392
GA-WF_EASY_100_083.bpp,100,28,"{'FFIT': 44, 'BFIT': 36, 'WFIT': 15, 'AWFIT': 5}",0.8394
GA-WF_EASY_100_083.bpp,100,28,"{'FFIT': 23, 'BFIT': 31, 'WFIT': 32, 'AWFIT': 14}",0.8393
GA-FF_EASY_100_081.bpp,100,23,"{'FFIT': 54, 'BFIT': 27, 'WFIT': 12, 'AWFIT': 7}",0.9051
GA-FF_EASY_100_081.bpp,100,23,"{'FFIT': 46, 'BFIT': 18, 'WFIT': 20, 'AWFIT': 16}",0.9137
GA-FF_EASY_100_081.bpp,100,23,"{'FFIT': 41, 'BFIT': 24, 'WFIT': 14, 'AWFIT': 21}",0.9043
GA-FF_EASY_100_086.bpp,100,23,"{'FFIT': 41, 'BFIT': 25, 'WFIT': 20, 'AWFIT': 14}",0.911
GA-FF_EASY_100_086.bpp,100,23,"{'FFIT': 30, 'BFIT': 32, 'WFIT': 18, 'AWFIT': 20}",0.9055
GA-FF_EASY_100_086.bpp,100,23,"{'FFIT': 29, 'BFIT': 26, 'WFIT': 23, 'AWFIT': 22}",0.9112
