INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-WF_EASY_100_094.bpp,100,29,"{'FFIT': 71, 'BFIT': 18, 'WFIT': 8, 'AWFIT': 3}",0.8596
GA-WF_EASY_100_094.bpp,100,29,"{'FFIT': 58, 'BFIT': 22, 'WFIT': 12, 'AWFIT': 8}",0.8597
GA-WF_EASY_100_094.bpp,100,29,"{'FFIT': 55, 'BFIT': 22, 'WFIT': 16, 'AWFIT': 7}",0.8597
GA-WF_EASY_100_026.bpp,100,30,"{'FFIT': 49, 'BFIT': 23, 'WFIT': 12, 'AWFIT': 16}",0.8882
GA-WF_EASY_100_026.bpp,100,31,"{'FFIT': 54, 'BFIT': 19, 'WFIT': 12, 'AWFIT': 15}",0.8321
GA-WF_EASY_100_026.bpp,100,30,"{'FFIT': 48, 'BFIT': 18, 'WFIT': 17, 'AWFIT': 17}",0.8893
GA-BF_EASY_100_029.bpp,100,26,"{'FFIT': 59, 'BFIT': 20, 'WFIT': 19, 'AWFIT': 2}",0.8587
GA-BF_EASY_100_029.bpp,100,26,"{'FFIT': 42, 'BFIT': 24, 'WFIT': 19, 'AWFIT': 15}",0.8592
GA-BF_EASY_100_029.bpp,100,25,"{'FFIT': 32, 'BFIT': 29, 'WFIT': 22, 'AWFIT': 17}",0.922
GA-FF_EASY_100_009.bpp,100,25,"{'FFIT': 64, 'BFIT': 25, 'WFIT': 8, 'AWFIT': 3}",0.9895
GA-FF_EASY_100_009.bpp,100,27,"{'FFIT': 49, 'BFIT': 21, 'WFIT': 19, 'AWFIT': 11}",0.8581
GA-FF_EASY_100_009.bpp,100,27,"{'FFIT': 42, 'BFIT': 25, 'WFIT': 19, 'AWFIT': 14}",0.8581
GA-FF_EASY_100_098.bpp,100,23,"{'FFIT': 45, 'BFIT': 24, 'WFIT': 13, 'AWFIT': 18}",0.9035
GA-FF_EASY_100_098.bpp,100,23,"{'FFIT': 42, 'BFIT': 23, 'WFIT': 21, 'AWFIT': 14}",0.9014
GA-FF_EASY_100_098.bpp,100,23,"{'FFIT': 28, 'BFIT': 28, 'WFIT': 34, 'AWFIT': 10}",0.9013
GA-FF_EASY_100_005.bpp,100,23,"{'FFIT': 56, 'BFIT': 16, 'WFIT': 19, 'AWFIT': 9}",0.9314
GA-FF_EASY_100_005.bpp,100,23,"{'FFIT': 59, 'BFIT': 24, 'WFIT': 10, 'AWFIT': 7}",0.9085
GA-FF_EASY_100_005.bpp,100,22,"{'FFIT': 46, 'BFIT': 24, 'WFIT': 20, 'AWFIT': 10}",0.9847
GA-AWF_EASY_100_044.bpp,100,25,"{'FFIT': 47, 'BFIT': 27, 'WFIT': 16, 'AWFIT': 10}",0.9901
GA-AWF_EASY_100_044.bpp,100,27,"{'FFIT': 29, 'BFIT': 32, 'WFIT': 17, 'AWFIT': 22}",0.8673
GA-AWF_EASY_100_044.bpp,100,27,"{'FFIT': 39, 'BFIT': 33, 'WFIT': 18, 'AWFIT': 10}",0.8674
GA-BF_EASY_100_049.bpp,100,26,"{'FFIT': 59, 'BFIT': 24, 'WFIT': 9, 'AWFIT': 8}",0.7934
GA-BF_EASY_100_049.bpp,100,26,"{'FFIT': 45, 'BFIT': 25, 'WFIT': 20, 'AWFIT': 10}",0.7931
GA-BF_EASY_100_049.bpp,100,24,"{'FFIT': 47, 'BFIT': 19, 'WFIT': 16, 'AWFIT': 18}",0.9257
GA-AWF_EASY_100_085.bpp,100,24,"{'FFIT': 44, 'BFIT': 25, 'WFIT': 13, 'AWFIT': 18}",0.9042
GA-AWF_EASY_100_085.bpp,100,24,"{'FFIT': 30, 'BFIT': 26, 'WFIT': 28, 'AWFIT': 16}",0.9035
GA-AWF_EASY_100_085.bpp,100,24,"{'FFIT': 34, 'BFIT': 11, 'WFIT': 40, 'AWFIT': 15}",0.8913
GA-WF_EASY_100_053.bpp,100,30,"{'FFIT': 45, 'BFIT': 22, 'WFIT': 11, 'AWFIT': 22}",0.816
GA-WF_EASY_100_053.bpp,100,30,"{'FFIT': 48, 'BFIT': 28, 'WFIT': 12, 'AWFIT': 12}",0.8161
GA-WF_EASY_100_053.bpp,100,30,"{'FFIT': 26, 'BFIT': 39, 'WFIT': 23, 'AWFIT': 12}",0.8163
GA-BF_EASY_100_013.bpp,100,29,"{'FFIT': 45, 'BFIT': 23, 'WFIT': 23, 'AWFIT': 9}",0.8514
GA-BF_EASY_100_013.bpp,100,30,"{'FFIT': 52, 'BFIT': 10, 'WFIT': 27, 'AWFIT': 11}",0.7961
GA-BF_EASY_100_013.bpp,100,29,"{'FFIT': 38, 'BFIT': 22, 'WFIT': 21, 'AWFIT': 19}",0.8505
GA-BF_EASY_100_072.bpp,100,20,"{'FFIT': 73, 'BFIT': 15, 'WFIT': 8, 'AWFIT': 4}",0.8186
GA-BF_EASY_100_072.bpp,100,20,"{'FFIT': 43, 'BFIT': 32, 'WFIT': 8, 'AWFIT': 17}",0.8188
GA-BF_EASY_100_072.bpp,100,19,"{'FFIT': 42, 'BFIT': 28, 'WFIT': 19, 'AWFIT': 11}",0.8958
GA-AWF_EASY_100_003.bpp,100,23,"{'FFIT': 45, 'BFIT': 28, 'WFIT': 17, 'AWFIT': 10}",0.9069
GA-AWF_EASY_100_003.bpp,100,23,"{'FFIT': 24, 'BFIT': 41, 'WFIT': 12, 'AWFIT': 23}",0.907
GA-AWF_EASY_100_003.bpp,100,23,"{'FFIT': 29, 'BFIT': 28, 'WFIT': 21, 'AWFIT': 22}",0.9076
GA-BF_EASY_100_066.bpp,100,28,"{'FFIT': 58, 'BFIT': 26, 'WFIT': 10, 'AWFIT': 6}",0.8811
GA-BF_EASY_100_066.bpp,100,28,"{'FFIT': 67, 'BFIT': 21, 'WFIT': 4, 'AWFIT': 8}",0.8808
GA-BF_EASY_100_066.bpp,100,28,"{'FFIT': 48, 'BFIT': 24, 'WFIT': 14, 'AWFIT': 14}",0.864
GA-BF_EASY_100_034.bpp,100,29,"{'FFIT': 49, 'BFIT': 13, 'WFIT': 9, 'AWFIT': 29}",0.8092
GA-BF_EASY_100_034.bpp,100,29,"{'FFIT': 38, 'BFIT': 19, 'WFIT': 16, 'AWFIT': 27}",0.8068
GA-BF_EASY_100_034.bpp,100,29,"{'FFIT': 33, 'BFIT': 21, 'WFIT': 22, 'AWFIT': 24}",0.8065
