INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-BF_EASY_100_026.bpp,100,29,"{'FFIT': 25.0, 'BFIT': 17.0, 'WFIT': 18.0, 'AWFIT': 40.0}",0.8442
GA-BF_EASY_100_026.bpp,100,28,"{'FFIT': 32.0, 'BFIT': 12.0, 'WFIT': 8.0, 'AWFIT': 48.0}",0.9013
GA-BF_EASY_100_026.bpp,100,29,"{'FFIT': 34.0, 'BFIT': 18.0, 'WFIT': 28.0, 'AWFIT': 20.0}",0.8418
GA-BF_EASY_100_026.bpp,100,29,"{'FFIT': 40.0, 'BFIT': 14.0, 'WFIT': 22.0, 'AWFIT': 24.0}",0.8427
GA-BF_EASY_100_026.bpp,100,28,"{'FFIT': 29.0, 'BFIT': 29.0, 'WFIT': 7.0, 'AWFIT': 35.0}",0.9014
GA-BF_EASY_100_067.bpp,100,25,"{'FFIT': 38.0, 'BFIT': 25.0, 'WFIT': 21.0, 'AWFIT': 16.0}",0.9118
GA-BF_EASY_100_067.bpp,100,27,"{'FFIT': 14.0, 'BFIT': 28.0, 'WFIT': 6.0, 'AWFIT': 52.0}",0.7903
GA-BF_EASY_100_067.bpp,100,27,"{'FFIT': 39.0, 'BFIT': 8.0, 'WFIT': 9.0, 'AWFIT': 44.0}",0.7922
GA-BF_EASY_100_067.bpp,100,27,"{'FFIT': 29.0, 'BFIT': 14.0, 'WFIT': 10.0, 'AWFIT': 47.0}",0.7905
GA-BF_EASY_100_067.bpp,100,27,"{'FFIT': 7.0, 'BFIT': 8.0, 'WFIT': 72.0, 'AWFIT': 13.0}",0.7903
GA-BF_EASY_100_001.bpp,100,26,"{'FFIT': 21.0, 'BFIT': 19.0, 'WFIT': 15.0, 'AWFIT': 45.0}",0.8556
GA-BF_EASY_100_001.bpp,100,25,"{'FFIT': 27.0, 'BFIT': 39.0, 'WFIT': 21.0, 'AWFIT': 13.0}",0.9233
GA-BF_EASY_100_001.bpp,100,26,"{'FFIT': 74.0, 'BFIT': 14.0, 'WFIT': 7.0, 'AWFIT': 5.0}",0.8547
GA-BF_EASY_100_001.bpp,100,26,"{'FFIT': 30.0, 'BFIT': 41.0, 'WFIT': 23.0, 'AWFIT': 6.0}",0.8549
GA-BF_EASY_100_001.bpp,100,26,"{'FFIT': 8.0, 'BFIT': 23.0, 'WFIT': 45.0, 'AWFIT': 24.0}",0.8522
GA-WF_EASY_100_089.bpp,100,32,"{'FFIT': 26.0, 'BFIT': 38.0, 'WFIT': 26.0, 'AWFIT': 10.0}",0.8759
GA-WF_EASY_100_089.bpp,100,33,"{'FFIT': 70.0, 'BFIT': 17.0, 'WFIT': 6.0, 'AWFIT': 7.0}",0.824
GA-WF_EASY_100_089.bpp,100,33,"{'FFIT': 14.0, 'BFIT': 43.0, 'WFIT': 5.0, 'AWFIT': 38.0}",0.8236
GA-WF_EASY_100_089.bpp,100,33,"{'FFIT': 39.0, 'BFIT': 30.0, 'WFIT': 19.0, 'AWFIT': 12.0}",0.824
GA-WF_EASY_100_089.bpp,100,33,"{'FFIT': 15.0, 'BFIT': 8.0, 'WFIT': 41.0, 'AWFIT': 36.0}",0.8239
GA-FF_EASY_100_033.bpp,100,23,"{'FFIT': 19.0, 'BFIT': 27.0, 'WFIT': 16.0, 'AWFIT': 38.0}",0.9075
GA-FF_EASY_100_033.bpp,100,23,"{'FFIT': 43.0, 'BFIT': 4.0, 'WFIT': 36.0, 'AWFIT': 17.0}",0.9079
