INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-FF_EASY_100_047.bpp,100,24,"{'FFIT': 1, 'BFIT': 93, 'WFIT': 3, 'AWFIT': 3}",0.9156
GA-FF_EASY_100_047.bpp,100,23,"{'FFIT': 95, 'BFIT': 2, 'WFIT': 2, 'AWFIT': 1}",0.9946
GA-FF_EASY_100_047.bpp,100,24,"{'FFIT': 2, 'BFIT': 0, 'WFIT': 2, 'AWFIT': 96}",0.914
GA-WF_EASY_100_017.bpp,100,25,"{'FFIT': 1, 'BFIT': 0, 'WFIT': 97, 'AWFIT': 2}",0.9091
GA-WF_EASY_100_017.bpp,100,26,"{'FFIT': 96, 'BFIT': 0, 'WFIT': 3, 'AWFIT': 1}",0.8435
GA-WF_EASY_100_017.bpp,100,25,"{'FFIT': 2, 'BFIT': 3, 'WFIT': 93, 'AWFIT': 2}",0.9066
GA-AWF_EASY_100_064.bpp,100,22,"{'FFIT': 93, 'BFIT': 5, 'WFIT': 2, 'AWFIT': 0}",0.9043
GA-AWF_EASY_100_064.bpp,100,23,"{'FFIT': 2, 'BFIT': 2, 'WFIT': 96, 'AWFIT': 0}",0.829
GA-AWF_EASY_100_064.bpp,100,23,"{'FFIT': 4, 'BFIT': 0, 'WFIT': 95, 'AWFIT': 1}",0.8312
GA-WF_EASY_100_053.bpp,100,30,"{'FFIT': 14, 'BFIT': 1, 'WFIT': 4, 'AWFIT': 81}",0.8151
GA-WF_EASY_100_053.bpp,100,29,"{'FFIT': 57, 'BFIT': 33, 'WFIT': 2, 'AWFIT': 8}",0.8638
GA-WF_EASY_100_053.bpp,100,30,"{'FFIT': 91, 'BFIT': 2, 'WFIT': 2, 'AWFIT': 5}",0.816
GA-FF_EASY_100_098.bpp,100,23,"{'FFIT': 6, 'BFIT': 9, 'WFIT': 1, 'AWFIT': 84}",0.8989
GA-FF_EASY_100_098.bpp,100,23,"{'FFIT': 2, 'BFIT': 1, 'WFIT': 4, 'AWFIT': 93}",0.9012
GA-FF_EASY_100_098.bpp,100,23,"{'FFIT': 1, 'BFIT': 2, 'WFIT': 6, 'AWFIT': 91}",0.9013
GA-WF_EASY_100_094.bpp,100,29,"{'FFIT': 89, 'BFIT': 5, 'WFIT': 3, 'AWFIT': 3}",0.8597
GA-WF_EASY_100_094.bpp,100,29,"{'FFIT': 6, 'BFIT': 90, 'WFIT': 1, 'AWFIT': 3}",0.8595
GA-WF_EASY_100_094.bpp,100,28,"{'FFIT': 9, 'BFIT': 3, 'WFIT': 84, 'AWFIT': 4}",0.9261
GA-FF_EASY_100_046.bpp,100,21,"{'FFIT': 91, 'BFIT': 0, 'WFIT': 3, 'AWFIT': 6}",0.9978
GA-FF_EASY_100_046.bpp,100,22,"{'FFIT': 3, 'BFIT': 2, 'WFIT': 3, 'AWFIT': 92}",0.9104
GA-FF_EASY_100_046.bpp,100,24,"{'FFIT': 0, 'BFIT': 3, 'WFIT': 92, 'AWFIT': 5}",0.7783
GA-BF_EASY_100_039.bpp,100,26,"{'FFIT': 0, 'BFIT': 2, 'WFIT': 4, 'AWFIT': 94}",0.7947
GA-BF_EASY_100_039.bpp,100,24,"{'FFIT': 5, 'BFIT': 92, 'WFIT': 0, 'AWFIT': 3}",0.9345
GA-BF_EASY_100_039.bpp,100,23,"{'FFIT': 1, 'BFIT': 99, 'WFIT': 0, 'AWFIT': 0}",0.9953
GA-BF_EASY_100_040.bpp,100,27,"{'FFIT': 2, 'BFIT': 3, 'WFIT': 2, 'AWFIT': 93}",0.8572
GA-BF_EASY_100_040.bpp,100,28,"{'FFIT': 0, 'BFIT': 1, 'WFIT': 93, 'AWFIT': 6}",0.8071
GA-BF_EASY_100_040.bpp,100,28,"{'FFIT': 1, 'BFIT': 0, 'WFIT': 97, 'AWFIT': 2}",0.8072
GA-BF_EASY_100_031.bpp,100,29,"{'FFIT': 3, 'BFIT': 0, 'WFIT': 97, 'AWFIT': 0}",0.7414
GA-BF_EASY_100_031.bpp,100,28,"{'FFIT': 97, 'BFIT': 1, 'WFIT': 2, 'AWFIT': 0}",0.8056
GA-BF_EASY_100_031.bpp,100,29,"{'FFIT': 5, 'BFIT': 3, 'WFIT': 90, 'AWFIT': 2}",0.7421
GA-WF_EASY_100_045.bpp,100,26,"{'FFIT': 56, 'BFIT': 1, 'WFIT': 14, 'AWFIT': 29}",0.8561
GA-WF_EASY_100_045.bpp,100,26,"{'FFIT': 33, 'BFIT': 0, 'WFIT': 66, 'AWFIT': 1}",0.8552
GA-WF_EASY_100_045.bpp,100,26,"{'FFIT': 96, 'BFIT': 1, 'WFIT': 1, 'AWFIT': 2}",0.8561
GA-AWF_EASY_100_004.bpp,100,25,"{'FFIT': 3, 'BFIT': 87, 'WFIT': 0, 'AWFIT': 10}",0.846
GA-AWF_EASY_100_004.bpp,100,24,"{'FFIT': 2, 'BFIT': 5, 'WFIT': 1, 'AWFIT': 92}",0.9186
GA-AWF_EASY_100_004.bpp,100,24,"{'FFIT': 93, 'BFIT': 2, 'WFIT': 2, 'AWFIT': 3}",0.906
GA-AWF_EASY_100_044.bpp,100,27,"{'FFIT': 38, 'BFIT': 1, 'WFIT': 61, 'AWFIT': 0}",0.8681
GA-AWF_EASY_100_044.bpp,100,27,"{'FFIT': 2, 'BFIT': 2, 'WFIT': 78, 'AWFIT': 18}",0.8573
GA-AWF_EASY_100_044.bpp,100,27,"{'FFIT': 4, 'BFIT': 84, 'WFIT': 9, 'AWFIT': 3}",0.8675
GA-AWF_EASY_100_081.bpp,100,23,"{'FFIT': 4, 'BFIT': 6, 'WFIT': 2, 'AWFIT': 88}",0.9067
GA-AWF_EASY_100_081.bpp,100,23,"{'FFIT': 3, 'BFIT': 4, 'WFIT': 1, 'AWFIT': 92}",0.9059
GA-AWF_EASY_100_081.bpp,100,23,"{'FFIT': 1, 'BFIT': 5, 'WFIT': 14, 'AWFIT': 80}",0.9059
GA-AWF_EASY_100_039.bpp,100,23,"{'FFIT': 89, 'BFIT': 2, 'WFIT': 4, 'AWFIT': 5}",0.9061
GA-AWF_EASY_100_039.bpp,100,24,"{'FFIT': 5, 'BFIT': 1, 'WFIT': 92, 'AWFIT': 2}",0.8444
GA-AWF_EASY_100_039.bpp,100,23,"{'FFIT': 5, 'BFIT': 90, 'WFIT': 3, 'AWFIT': 2}",0.9061
GA-WF_EASY_100_009.bpp,100,29,"{'FFIT': 3, 'BFIT': 4, 'WFIT': 0, 'AWFIT': 93}",0.8638
GA-WF_EASY_100_009.bpp,100,29,"{'FFIT': 1, 'BFIT': 92, 'WFIT': 2, 'AWFIT': 5}",0.8648
GA-WF_EASY_100_009.bpp,100,28,"{'FFIT': 2, 'BFIT': 6, 'WFIT': 90, 'AWFIT': 2}",0.9208
GA-BF_EASY_100_092.bpp,100,25,"{'FFIT': 2, 'BFIT': 1, 'WFIT': 4, 'AWFIT': 93}",0.8419
