INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-WF_EASY_100_093.bpp,100,28,"{'FFIT': 32, 'BFIT': 24, 'WFIT': 22, 'AWFIT': 22}",0.8548
GA-WF_EASY_100_093.bpp,100,27,"{'FFIT': 29, 'BFIT': 23, 'WFIT': 20, 'AWFIT': 28}",0.9176
GA-WF_EASY_100_093.bpp,100,28,"{'FFIT': 19, 'BFIT': 32, 'WFIT': 38, 'AWFIT': 11}",0.8563
GA-WF_EASY_100_093.bpp,100,27,"{'FFIT': 26, 'BFIT': 31, 'WFIT': 18, 'AWFIT': 25}",0.9177
GA-WF_EASY_100_093.bpp,100,27,"{'FFIT': 32, 'BFIT': 23, 'WFIT': 20, 'AWFIT': 25}",0.9169
GA-AWF_EASY_100_069.bpp,100,18,"{'FFIT': 33, 'BFIT': 19, 'WFIT': 26, 'AWFIT': 22}",0.9041
GA-AWF_EASY_100_069.bpp,100,18,"{'FFIT': 28, 'BFIT': 21, 'WFIT': 25, 'AWFIT': 26}",0.9024
GA-AWF_EASY_100_069.bpp,100,18,"{'FFIT': 42, 'BFIT': 27, 'WFIT': 15, 'AWFIT': 16}",0.9024
GA-AWF_EASY_100_069.bpp,100,18,"{'FFIT': 17, 'BFIT': 17, 'WFIT': 54, 'AWFIT': 12}",0.9025
GA-AWF_EASY_100_069.bpp,100,18,"{'FFIT': 18, 'BFIT': 18, 'WFIT': 46, 'AWFIT': 18}",0.9024
GA-WF_EASY_100_016.bpp,100,28,"{'FFIT': 27, 'BFIT': 27, 'WFIT': 23, 'AWFIT': 23}",0.8566
GA-WF_EASY_100_016.bpp,100,28,"{'FFIT': 22, 'BFIT': 21, 'WFIT': 19, 'AWFIT': 38}",0.8616
GA-WF_EASY_100_016.bpp,100,28,"{'FFIT': 29, 'BFIT': 15, 'WFIT': 23, 'AWFIT': 33}",0.8564
GA-WF_EASY_100_016.bpp,100,28,"{'FFIT': 48, 'BFIT': 18, 'WFIT': 14, 'AWFIT': 20}",0.8568
GA-WF_EASY_100_016.bpp,100,28,"{'FFIT': 30, 'BFIT': 16, 'WFIT': 41, 'AWFIT': 13}",0.8575
GA-BF_EASY_100_006.bpp,100,24,"{'FFIT': 58, 'BFIT': 15, 'WFIT': 18, 'AWFIT': 9}",0.829
GA-BF_EASY_100_006.bpp,100,24,"{'FFIT': 34, 'BFIT': 16, 'WFIT': 18, 'AWFIT': 32}",0.8282
GA-BF_EASY_100_006.bpp,100,24,"{'FFIT': 18, 'BFIT': 27, 'WFIT': 44, 'AWFIT': 11}",0.8276
GA-BF_EASY_100_006.bpp,100,24,"{'FFIT': 49, 'BFIT': 21, 'WFIT': 22, 'AWFIT': 8}",0.8281
GA-BF_EASY_100_006.bpp,100,24,"{'FFIT': 57, 'BFIT': 6, 'WFIT': 10, 'AWFIT': 27}",0.8289
GA-WF_EASY_100_095.bpp,100,29,"{'FFIT': 30, 'BFIT': 25, 'WFIT': 32, 'AWFIT': 13}",0.866
GA-WF_EASY_100_095.bpp,100,29,"{'FFIT': 10, 'BFIT': 47, 'WFIT': 30, 'AWFIT': 13}",0.8663
GA-WF_EASY_100_095.bpp,100,29,"{'FFIT': 51, 'BFIT': 18, 'WFIT': 25, 'AWFIT': 6}",0.8641
GA-WF_EASY_100_095.bpp,100,29,"{'FFIT': 10, 'BFIT': 29, 'WFIT': 28, 'AWFIT': 33}",0.8658
GA-WF_EASY_100_095.bpp,100,29,"{'FFIT': 18, 'BFIT': 36, 'WFIT': 34, 'AWFIT': 12}",0.8661
GA-WF_EASY_100_024.bpp,100,30,"{'FFIT': 16, 'BFIT': 36, 'WFIT': 29, 'AWFIT': 19}",0.9258
GA-WF_EASY_100_024.bpp,100,31,"{'FFIT': 9, 'BFIT': 35, 'WFIT': 52, 'AWFIT': 4}",0.8679
GA-WF_EASY_100_024.bpp,100,30,"{'FFIT': 6, 'BFIT': 11, 'WFIT': 40, 'AWFIT': 43}",0.9212
GA-WF_EASY_100_024.bpp,100,31,"{'FFIT': 10, 'BFIT': 6, 'WFIT': 77, 'AWFIT': 7}",0.8676
GA-WF_EASY_100_024.bpp,100,30,"{'FFIT': 6, 'BFIT': 37, 'WFIT': 54, 'AWFIT': 3}",0.9218
GA-BF_EASY_100_094.bpp,100,29,"{'FFIT': 30, 'BFIT': 20, 'WFIT': 46, 'AWFIT': 4}",0.7991
GA-BF_EASY_100_094.bpp,100,29,"{'FFIT': 7, 'BFIT': 30, 'WFIT': 24, 'AWFIT': 39}",0.8073
GA-BF_EASY_100_094.bpp,100,29,"{'FFIT': 3, 'BFIT': 10, 'WFIT': 39, 'AWFIT': 48}",0.8076
GA-BF_EASY_100_094.bpp,100,29,"{'FFIT': 7, 'BFIT': 7, 'WFIT': 79, 'AWFIT': 7}",0.8072
GA-BF_EASY_100_094.bpp,100,28,"{'FFIT': 18, 'BFIT': 2, 'WFIT': 3, 'AWFIT': 77}",0.8552
GA-WF_EASY_100_068.bpp,100,26,"{'FFIT': 6, 'BFIT': 21, 'WFIT': 15, 'AWFIT': 58}",0.8514
GA-WF_EASY_100_068.bpp,100,26,"{'FFIT': 3, 'BFIT': 59, 'WFIT': 30, 'AWFIT': 8}",0.8517
GA-WF_EASY_100_068.bpp,100,25,"{'FFIT': 3, 'BFIT': 52, 'WFIT': 29, 'AWFIT': 16}",0.9164
GA-WF_EASY_100_068.bpp,100,25,"{'FFIT': 6, 'BFIT': 57, 'WFIT': 30, 'AWFIT': 7}",0.9169
GA-WF_EASY_100_068.bpp,100,26,"{'FFIT': 37, 'BFIT': 38, 'WFIT': 12, 'AWFIT': 13}",0.8525
GA-BF_EASY_100_059.bpp,100,22,"{'FFIT': 27, 'BFIT': 12, 'WFIT': 35, 'AWFIT': 26}",0.8301
GA-BF_EASY_100_059.bpp,100,22,"{'FFIT': 19, 'BFIT': 11, 'WFIT': 47, 'AWFIT': 23}",0.8285
GA-BF_EASY_100_059.bpp,100,22,"{'FFIT': 30, 'BFIT': 12, 'WFIT': 46, 'AWFIT': 12}",0.8318
GA-BF_EASY_100_059.bpp,100,22,"{'FFIT': 18, 'BFIT': 15, 'WFIT': 10, 'AWFIT': 57}",0.8295
