INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-WF_EASY_100_016.bpp,100,28,"{'FFIT': 63, 'BFIT': 26, 'WFIT': 8, 'AWFIT': 3}",0.8618
GA-WF_EASY_100_016.bpp,100,27,"{'FFIT': 49, 'BFIT': 26, 'WFIT': 15, 'AWFIT': 10}",0.9191
GA-WF_EASY_100_016.bpp,100,27,"{'FFIT': 34, 'BFIT': 37, 'WFIT': 16, 'AWFIT': 13}",0.9186
GA-AWF_EASY_100_076.bpp,100,27,"{'FFIT': 56, 'BFIT': 29, 'WFIT': 8, 'AWFIT': 7}",0.855
GA-AWF_EASY_100_076.bpp,100,26,"{'FFIT': 20, 'BFIT': 46, 'WFIT': 15, 'AWFIT': 19}",0.9178
GA-AWF_EASY_100_076.bpp,100,26,"{'FFIT': 55, 'BFIT': 20, 'WFIT': 11, 'AWFIT': 14}",0.9228
GA-AWF_EASY_100_050.bpp,100,26,"{'FFIT': 54, 'BFIT': 29, 'WFIT': 8, 'AWFIT': 9}",0.9181
GA-AWF_EASY_100_050.bpp,100,27,"{'FFIT': 16, 'BFIT': 32, 'WFIT': 37, 'AWFIT': 15}",0.8705
GA-AWF_EASY_100_050.bpp,100,26,"{'FFIT': 48, 'BFIT': 19, 'WFIT': 26, 'AWFIT': 7}",0.9182
GA-WF_EASY_100_085.bpp,100,28,"{'FFIT': 55, 'BFIT': 29, 'WFIT': 10, 'AWFIT': 6}",0.8665
GA-WF_EASY_100_085.bpp,100,28,"{'FFIT': 47, 'BFIT': 17, 'WFIT': 17, 'AWFIT': 19}",0.8658
GA-WF_EASY_100_085.bpp,100,28,"{'FFIT': 30, 'BFIT': 41, 'WFIT': 16, 'AWFIT': 13}",0.8658
GA-AWF_EASY_100_064.bpp,100,22,"{'FFIT': 53, 'BFIT': 18, 'WFIT': 18, 'AWFIT': 11}",0.9043
GA-AWF_EASY_100_064.bpp,100,22,"{'FFIT': 57, 'BFIT': 14, 'WFIT': 10, 'AWFIT': 19}",0.9083
GA-AWF_EASY_100_064.bpp,100,22,"{'FFIT': 40, 'BFIT': 19, 'WFIT': 31, 'AWFIT': 10}",0.9043
GA-WF_EASY_100_066.bpp,100,28,"{'FFIT': 67, 'BFIT': 17, 'WFIT': 12, 'AWFIT': 4}",0.9312
GA-WF_EASY_100_066.bpp,100,29,"{'FFIT': 65, 'BFIT': 22, 'WFIT': 9, 'AWFIT': 4}",0.8681
GA-WF_EASY_100_066.bpp,100,29,"{'FFIT': 57, 'BFIT': 14, 'WFIT': 9, 'AWFIT': 20}",0.8672
GA-BF_EASY_100_058.bpp,100,23,"{'FFIT': 66, 'BFIT': 23, 'WFIT': 6, 'AWFIT': 5}",0.8366
GA-BF_EASY_100_058.bpp,100,23,"{'FFIT': 38, 'BFIT': 34, 'WFIT': 14, 'AWFIT': 14}",0.8362
GA-BF_EASY_100_058.bpp,100,23,"{'FFIT': 38, 'BFIT': 26, 'WFIT': 22, 'AWFIT': 14}",0.8357
GA-BF_EASY_100_065.bpp,100,18,"{'FFIT': 63, 'BFIT': 19, 'WFIT': 11, 'AWFIT': 7}",0.8957
GA-BF_EASY_100_065.bpp,100,19,"{'FFIT': 38, 'BFIT': 29, 'WFIT': 14, 'AWFIT': 19}",0.8293
GA-BF_EASY_100_065.bpp,100,19,"{'FFIT': 49, 'BFIT': 20, 'WFIT': 16, 'AWFIT': 15}",0.829
GA-FF_EASY_100_078.bpp,100,30,"{'FFIT': 48, 'BFIT': 27, 'WFIT': 15, 'AWFIT': 10}",0.8971
GA-FF_EASY_100_078.bpp,100,30,"{'FFIT': 41, 'BFIT': 27, 'WFIT': 19, 'AWFIT': 13}",0.8916
