INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-BF_EASY_100_078.bpp,100,25,"{'FFIT': 24.0, 'BFIT': 29.0, 'WFIT': 25.0, 'AWFIT': 22.0}",0.8458
GA-BF_EASY_100_078.bpp,100,24,"{'FFIT': 30.0, 'BFIT': 28.0, 'WFIT': 32.0, 'AWFIT': 10.0}",0.9117
GA-BF_EASY_100_078.bpp,100,25,"{'FFIT': 27.0, 'BFIT': 18.0, 'WFIT': 32.0, 'AWFIT': 23.0}",0.8456
GA-BF_EASY_100_078.bpp,100,25,"{'FFIT': 49.0, 'BFIT': 34.0, 'WFIT': 12.0, 'AWFIT': 5.0}",0.8444
GA-BF_EASY_100_078.bpp,100,25,"{'FFIT': 43.0, 'BFIT': 21.0, 'WFIT': 21.0, 'AWFIT': 15.0}",0.8475
GA-WF_EASY_100_050.bpp,100,27,"{'FFIT': 66.0, 'BFIT': 8.0, 'WFIT': 10.0, 'AWFIT': 16.0}",0.8505
GA-WF_EASY_100_050.bpp,100,27,"{'FFIT': 22.0, 'BFIT': 32.0, 'WFIT': 12.0, 'AWFIT': 34.0}",0.85
GA-WF_EASY_100_050.bpp,100,27,"{'FFIT': 36.0, 'BFIT': 19.0, 'WFIT': 4.0, 'AWFIT': 41.0}",0.8485
GA-WF_EASY_100_050.bpp,100,27,"{'FFIT': 47.0, 'BFIT': 38.0, 'WFIT': 7.0, 'AWFIT': 8.0}",0.8491
GA-WF_EASY_100_050.bpp,100,27,"{'FFIT': 32.0, 'BFIT': 10.0, 'WFIT': 47.0, 'AWFIT': 11.0}",0.8507
GA-BF_EASY_100_068.bpp,100,26,"{'FFIT': 18.0, 'BFIT': 12.0, 'WFIT': 15.0, 'AWFIT': 55.0}",0.7898
GA-BF_EASY_100_068.bpp,100,25,"{'FFIT': 54.0, 'BFIT': 18.0, 'WFIT': 18.0, 'AWFIT': 10.0}",0.837
GA-BF_EASY_100_068.bpp,100,25,"{'FFIT': 31.0, 'BFIT': 26.0, 'WFIT': 29.0, 'AWFIT': 14.0}",0.8569
GA-BF_EASY_100_068.bpp,100,25,"{'FFIT': 21.0, 'BFIT': 11.0, 'WFIT': 56.0, 'AWFIT': 12.0}",0.8385
GA-BF_EASY_100_068.bpp,100,25,"{'FFIT': 27.0, 'BFIT': 42.0, 'WFIT': 22.0, 'AWFIT': 9.0}",0.8569
GA-BF_EASY_100_061.bpp,100,25,"{'FFIT': 5.0, 'BFIT': 52.0, 'WFIT': 27.0, 'AWFIT': 16.0}",0.8601
GA-BF_EASY_100_061.bpp,100,24,"{'FFIT': 4.0, 'BFIT': 51.0, 'WFIT': 28.0, 'AWFIT': 17.0}",0.9195
GA-BF_EASY_100_061.bpp,100,25,"{'FFIT': 32.0, 'BFIT': 59.0, 'WFIT': 5.0, 'AWFIT': 4.0}",0.8511
GA-BF_EASY_100_061.bpp,100,25,"{'FFIT': 31.0, 'BFIT': 35.0, 'WFIT': 19.0, 'AWFIT': 15.0}",0.8536
GA-BF_EASY_100_061.bpp,100,26,"{'FFIT': 2.0, 'BFIT': 7.0, 'WFIT': 88.0, 'AWFIT': 3.0}",0.7891
GA-AWF_EASY_100_089.bpp,100,22,"{'FFIT': 34.0, 'BFIT': 6.0, 'WFIT': 22.0, 'AWFIT': 38.0}",0.9097
GA-AWF_EASY_100_089.bpp,100,22,"{'FFIT': 40.0, 'BFIT': 43.0, 'WFIT': 13.0, 'AWFIT': 4.0}",0.9105
GA-AWF_EASY_100_089.bpp,100,22,"{'FFIT': 56.0, 'BFIT': 14.0, 'WFIT': 6.0, 'AWFIT': 24.0}",0.9095
GA-AWF_EASY_100_089.bpp,100,22,"{'FFIT': 18.0, 'BFIT': 16.0, 'WFIT': 63.0, 'AWFIT': 3.0}",0.91
GA-AWF_EASY_100_089.bpp,100,22,"{'FFIT': 44.0, 'BFIT': 4.0, 'WFIT': 22.0, 'AWFIT': 30.0}",0.9095
GA-FF_EASY_100_016.bpp,100,27,"{'FFIT': 3.0, 'BFIT': 17.0, 'WFIT': 55.0, 'AWFIT': 25.0}",0.8278
GA-FF_EASY_100_016.bpp,100,26,"{'FFIT': 27.0, 'BFIT': 21.0, 'WFIT': 45.0, 'AWFIT': 7.0}",0.8912
